Scaler,n_estimators,max_depth,learning_rate,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,200,8,0.1,0.8704,0.8705,0.8704,0.8704,0.9658
StandardScaler,200,8,0.1,0.8704,0.8705,0.8704,0.8704,0.9658
RobustScaler,200,8,0.1,0.8704,0.8705,0.8704,0.8704,0.9658
NoScaler,200,8,0.1,0.8704,0.8705,0.8704,0.8704,0.9658
NoScaler,200,8,0.05,0.863,0.8633,0.863,0.8631,0.9615
RobustScaler,200,8,0.05,0.863,0.8633,0.863,0.8631,0.9615
MinMaxScaler,200,8,0.05,0.863,0.8633,0.863,0.8631,0.9615
StandardScaler,200,8,0.05,0.863,0.8633,0.863,0.8631,0.9615
StandardScaler,200,6,0.1,0.8567,0.8568,0.8567,0.8568,0.9611
RobustScaler,200,6,0.1,0.8567,0.8568,0.8567,0.8568,0.9611
MinMaxScaler,200,6,0.1,0.8567,0.8568,0.8567,0.8568,0.9611
NoScaler,200,6,0.1,0.8567,0.8568,0.8567,0.8568,0.9611
StandardScaler,100,8,0.1,0.8613,0.8616,0.8613,0.8614,0.9606
RobustScaler,100,8,0.1,0.8613,0.8616,0.8613,0.8614,0.9606
NoScaler,100,8,0.1,0.8613,0.8616,0.8613,0.8614,0.9606
MinMaxScaler,100,8,0.1,0.8613,0.8616,0.8613,0.8614,0.9606
NoScaler,100,8,0.05,0.8414,0.8414,0.8414,0.8414,0.9508
MinMaxScaler,100,8,0.05,0.8414,0.8414,0.8414,0.8414,0.9508
StandardScaler,100,8,0.05,0.8414,0.8414,0.8414,0.8414,0.9508
RobustScaler,100,8,0.05,0.8414,0.8414,0.8414,0.8414,0.9508
StandardScaler,100,6,0.1,0.8397,0.8399,0.8397,0.8398,0.9504
NoScaler,100,6,0.1,0.8397,0.8399,0.8397,0.8398,0.9504
RobustScaler,100,6,0.1,0.8397,0.8399,0.8397,0.8398,0.9504
MinMaxScaler,100,6,0.1,0.8397,0.8399,0.8397,0.8398,0.9504
StandardScaler,200,6,0.05,0.8346,0.8346,0.8346,0.8345,0.9489
RobustScaler,200,6,0.05,0.8346,0.8346,0.8346,0.8345,0.9489
MinMaxScaler,200,6,0.05,0.8346,0.8346,0.8346,0.8345,0.9489
NoScaler,200,6,0.05,0.8346,0.8346,0.8346,0.8345,0.9489
MinMaxScaler,200,4,0.1,0.8198,0.8198,0.8198,0.8198,0.9375
RobustScaler,200,4,0.1,0.8198,0.8198,0.8198,0.8198,0.9375
StandardScaler,200,4,0.1,0.8198,0.8198,0.8198,0.8198,0.9375
NoScaler,200,4,0.1,0.8198,0.8198,0.8198,0.8198,0.9375
MinMaxScaler,100,6,0.05,0.7885,0.7891,0.7885,0.7881,0.9272
StandardScaler,100,6,0.05,0.7885,0.7891,0.7885,0.7881,0.9272
RobustScaler,100,6,0.05,0.7885,0.7891,0.7885,0.7881,0.9272
NoScaler,100,6,0.05,0.7885,0.7891,0.7885,0.7881,0.9272
NoScaler,100,4,0.1,0.7646,0.7645,0.7646,0.7645,0.9073
MinMaxScaler,100,4,0.1,0.7646,0.7645,0.7646,0.7645,0.9073
StandardScaler,100,4,0.1,0.7646,0.7645,0.7646,0.7645,0.9073
RobustScaler,100,4,0.1,0.7646,0.7645,0.7646,0.7645,0.9073
StandardScaler,200,4,0.05,0.7635,0.7635,0.7635,0.7634,0.9041
NoScaler,200,4,0.05,0.7635,0.7635,0.7635,0.7634,0.9041
RobustScaler,200,4,0.05,0.7635,0.7635,0.7635,0.7634,0.9041
MinMaxScaler,200,4,0.05,0.7635,0.7635,0.7635,0.7634,0.9041
Normalizer,200,8,0.1,0.7379,0.7373,0.7379,0.7376,0.8842
Normalizer,200,6,0.1,0.7402,0.7392,0.7402,0.7396,0.8789
Normalizer,200,8,0.05,0.7379,0.7372,0.7379,0.7374,0.8785
Normalizer,100,8,0.1,0.7345,0.7344,0.7345,0.7345,0.8784
RobustScaler,100,4,0.05,0.7067,0.7055,0.7067,0.7052,0.8705
MinMaxScaler,100,4,0.05,0.7067,0.7055,0.7067,0.7052,0.8705
StandardScaler,100,4,0.05,0.7067,0.7055,0.7067,0.7052,0.8705
NoScaler,100,4,0.05,0.7067,0.7055,0.7067,0.7052,0.8705
Normalizer,100,8,0.05,0.7192,0.7183,0.7192,0.7186,0.8691
Normalizer,200,6,0.05,0.7265,0.7268,0.7265,0.7266,0.8685
Normalizer,100,6,0.1,0.7203,0.7201,0.7203,0.7201,0.8674
Normalizer,200,4,0.1,0.7095,0.7093,0.7095,0.7093,0.8583
Normalizer,100,6,0.05,0.7072,0.707,0.7072,0.7065,0.8545
Normalizer,100,4,0.1,0.6737,0.6731,0.6737,0.6721,0.8344
Normalizer,200,4,0.05,0.6663,0.6652,0.6663,0.6641,0.8319
Normalizer,100,4,0.05,0.6345,0.6343,0.6345,0.6298,0.8077
